结算日期,单据类型,店铺名称,货号,销售数量,销售金额,吊牌金额
20260323,退货单,淘宝-安踏品牌网店,922425537-3,-3,-555.1500000000001,-1407.0000
20260323,退货单,天猫-anta官方outlets店,172548910-2,-1,-489.0,-699.0000
20260323,退货单,得物-安踏直发店,952528112-6,-2,-134.0,-278.0000
20260323,退货单,抖音-安踏健身旗舰店,952628103-3,-108,-7152.0,-10692.0000
20260323,退货单,抖音-安踏轻运动旗舰店,952617607-1,-14,-3636.0,-6286.0000
20260323,退货单,拼多多-安踏旗舰店,112545582-2,-39,-6765.0,-15561.0000
20260323,退货单,拼多多-安踏旗舰店,922535505-2,-16,-1888.2000000000003,-4304.0000
20260323,退货单,拼多多-安踏旗舰店,922535513-4,-5,-622.1999999999999,-1495.0000
20260323,退货单,拼多多-安踏旗舰店,952537601-2,-14,-2268.3700000000003,-6986.0000
20260323,退货单,拼多多-安踏旗舰店,972541401-3,-2,-193.99,-478.0000
20260323,退货单,天猫-anta安踏安驰专卖店,112515508-3,-1,-212.42,-399.0000
20260323,退货单,京东-安踏御英专卖店,922615541-5,-2,-308.0,-398.0000
20260323,退货单,天猫-安踏滑板旗舰店,962537205-4,-1,-279.0,-499.0000
20260323,退货单,安踏大货唯品会,122525546-1,-3,-707.2439019999999,-1197.0000
20260323,退货单,安踏大货唯品会,162447753U-2,-7,-809.0,-2793.0000
20260323,退货单,安踏大货唯品会,162447757RN-1,-17,-2119.0,-8483.0000
20260323,退货单,安踏大货唯品会,162448749U-4,-2,-228.0,-738.0000
20260323,退货单,安踏大货唯品会,172441404-3,-8,-642.0,-2712.0000
20260323,退货单,安踏大货唯品会,912528891-2,-5,-812.804878,-1995.0000
20260323,退货单,安踏大货唯品会,912528892-1,-9,-1717.1707330000002,-3591.0000
20260323,退货单,安踏大货唯品会,912538012-6,-4,-794.536586,-1756.0000
20260323,退货单,安踏大货唯品会,922448081-5,-1,-84.0,-439.0000
20260323,退货单,安踏大货唯品会,922457701-3,-19,-2415.682927,-5681.0000
20260323,退货单,安踏大货唯品会,922515505-2,-8,-687.0,-2712.0000
20260323,退货单,安踏大货唯品会,922525564F-4,-10,-1796.0487810000002,-3990.0000
20260323,退货单,安踏大货唯品会,922527703Q-2,-11,-2357.78049,-3729.0000
20260323,退货单,安踏大货唯品会,922537725-2,-5,-631.0,-1495.0000
20260323,退货单,安踏大货唯品会,922625528-1,-1,-249.0,-399.0000
